comentario;sentimiento
no sabe responder;Negativo
genera ambiente tenso;Negativo
pone notas bajas sin explicación;Negativo
no usa recursos;Negativo
se burla de los alumnos;Negativo
falta al respeto;Negativo
no retroalimenta;Negativo
impone su opinión;Negativo
no corrige errores;Negativo
tiene preferidos;Negativo
no pone atención;Negativo
es impaciente;Negativo
habla sin sentido;Negativo
no cumple con lo prometido;Negativo
deja todo para el final;Negativo
no explica tareas;Negativo
se enfoca solo en lo negativo;Negativo
crea presión;Negativo
no está capacitado;Negativo
falta a clases;Negativo
es muy exigente sin razón;Negativo
no aporta al aprendizaje;Negativo
hace sentir mal;Negativo
no tiene vocación;Negativo
no organiza el curso;Negativo
no actualiza el contenido;Negativo
no inspira confianza;Negativo
no tiene buen trato;Negativo
impone miedo;Negativo
no tiene carisma;Negativo
no valora el esfuerzo;Negativo
no acepta errores;Negativo
no da ejemplos;Negativo
no justifica las notas;Negativo
es muy tosco;Negativo
no maneja tecnología;Negativo
explica de forma aburrida;Negativo
hace perder el interés;Negativo
no corrige a tiempo;Negativo
se distrae en clase;Negativo
no atiende reclamos;Negativo
desanima a los estudiantes;Negativo
no cumple horarios;Negativo
se muestra desinteresado;Negativo
no fomenta el respeto;Negativo
desprecia opiniones;Negativo
no motiva al diálogo;Negativo
pone malas caras;Negativo
no reconoce errores;Negativo
es inflexible;Negativo
no ayuda a mejorar;Negativo
fomenta la desorganización;Negativo
no respeta el turno;Negativo
habla con arrogancia;Negativo
no da retroalimentación;Negativo
no hace seguimientos;Negativo
se muestra impaciente;Negativo
se enoja fácilmente;Negativo
no reconoce el esfuerzo;Negativo
no contextualiza contenidos;Negativo
es poco comunicativo;Negativo
no usa material didáctico;Negativo
se muestra desanimado;Negativo
no fomenta el trabajo en equipo;Negativo
no aclara dudas;Negativo
no es accesible;Negativo
no facilita el aprendizaje;Negativo
es poco claro;Negativo
usa lenguaje complicado;Negativo
se desconecta en clase;Negativo
no hace evaluaciones justas;Negativo
pone demasiadas tareas;Negativo
es injusto con calificaciones;Negativo
no usa recursos visuales;Negativo
no organiza actividades;Negativo
no actualiza sus conocimientos;Negativo
no usa ejemplos prácticos;Negativo
no adapta la clase;Negativo
no atiende a todos;Negativo
se muestra indiferente;Negativo
no da apoyo extra;Negativo
ignora necesidades especiales;Negativo
no controla la disciplina;Negativo
interrumpe a los estudiantes;Negativo
no promueve el respeto;Negativo
desmotiva con críticas;Negativo
no escucha sugerencias;Negativo
no se prepara para la clase;Negativo
no organiza el tiempo;Negativo
es desordenado;Negativo
se pierde en explicaciones;Negativo
no motiva a participar;Negativo
no reconoce el mérito;Negativo
se muestra autoritario;Negativo
no responde a tiempo;Negativo
da información incorrecta;Negativo
no revisa trabajos;Negativo
no explica con ejemplos;Negativo
no se comunica bien;Negativo
no atiende quejas;Negativo
se muestra distante;Negativo
no tiene plan de clases;Negativo
no explica los objetivos;Negativo
no promueve el aprendizaje activo;Negativo
es poco claro en la evaluación;Negativo
no da indicaciones claras;Negativo
no responde correos electrónicos;Negativo
no explica el contenido;Negativo
no atiende las necesidades;Negativo
no genera interés;Negativo
no fomenta la creatividad;Negativo
no reconoce avances;Negativo
se muestra impaciente con dudas;Negativo
no da confianza;Negativo
es poco motivador;Negativo
no incentiva a estudiar;Negativo
no responde preguntas;Negativo
se muestra intolerante;Negativo
no facilita la comprensión;Negativo
no explica con calma;Negativo
no se interesa por mejorar;Negativo
no ayuda a resolver dudas;Negativo
se muestra despectivo;Negativo
no respeta horarios;Negativo
se cierra feo;Negativo
no orienta bien;Negativo
da tareas excesivas;Negativo
no da oportunidad para preguntas;Negativo
no hace revisiones;Negativo
no organiza bien la clase;Negativo
no cumple el programa;Negativo
preferencia por las mujeres;Negativo
es poco atento;Negativo
no atiende a estudiantes;Negativo
no sabia como desarrollar los ejercicios;Negativo
su cerebro no razonaba;Negativo
el prode no razona;Negativo
su cerebro no razona;Negativo
no aclara dudas;Negativo
no da materiales;Negativo
no gestiona bien la clase;Negativo
no motiva en clase;Negativo
no organiza actividades;Negativo
no explica la materia;Negativo
no fomenta la confianza;Negativo
no es flexible;Negativo
no cumple con las normas;Negativo
es poco profesional;Negativo
no atiende al grupo;Negativo
no da feedback;Negativo
no fomenta la colaboración;Negativo
no atiende consultas;Negativo
no promueve la inclusión;Negativo
profesor complicado;Negativo
profesor dificil de entender;Negativo
profesor dificil de comprentender;Negativo
no da seguimiento a trabajos;Negativo
graves errores en la definición de términos;Negativo
mala definición de términos;Negativo
pesima definición de términos;Negativo
pesima explicación;Negativo
una mrd de persona;Negativo
no corrige a tiempo;Negativo
no motiva al estudiante;Negativo
no atiende reclamos;Negativo
graves errores;Negativo
no da tareas claras;Negativo
no explica bien los ejercicios;Negativo
no apoya el aprendizaje;Negativo
es impuntual con entregas;Negativo
no explica los procedimientos;Negativo
no tiene disposición;Negativo
no se comunica bien;Negativo
no promueve la disciplina;Negativo
no explica bien los temas;Negativo
no ayuda en dificultades;Negativo
no promueve la participación;Negativo
MUCHOS PROYECTOS GRUPALES;Negativo
mucha tareasdemasiada tarea;Negativo
DEJA TRABAJOS LARGOS;Negativo
LAS CLASES SON LARGAS;Negativo
LAS CLASES SON ABURRIDAS;Negativo
no sabe muy bien lo que dice;Negativo
no responde dudas;Negativo
no facilita el aprendizaje;Negativo
profe esta desactualizado;Negativo
no atiende a tiempo;Negativo
no da materiales;Negativo
no promueve el diálogo;Negativo
no promueve el respeto;Negativo
no explica claramente;Negativo
no atiende a todos;Negativo
no motiva en clase;Negativo
no corrige errores;Negativo
no atiende quejas;Negativo
no responde correos;Negativo
no explica bien las tareas;Negativo
no enseñaba nada;Negativo
no da seguimiento;Negativo
no fomenta la disciplina;Negativo
no motiva al estudiante;Negativo
no sabe una mrd;Negativo
es idiota;Negativo
es pndj;Negativo
es pndjo;Negativo
es pendejo;Negativo
no atiende reclamos;Negativo
no explica los contenidos;Negativo
no da tareas claras;Negativo
no atiende a tiempo;Negativo
no corrige errores;Negativo
no fomenta el respeto;Negativo
no responde preguntas;Negativo
no promueve la participación;Negativo
no atiende consultas;Negativo
reza para aprobar;Negativo
reza para pasar;Negativo
dificil pasar con el;Negativo
dificil pasar con ella;Negativo
coloca notas muy bajas;Negativo
califica demasidado bajo;Negativo
no explica claramente;Negativo
no da materiales;Negativo
no atiende a todos;Negativo
no motiva en clase;Negativo
no corrige errores;Negativo
no atiende quejas;Negativo
no responde correos;Negativo
no es buen profe;Negativo
Habla incoherencias;Negativo
Este csmr no enseñaba nada;Negativo
te hacia buscar todo en google;Negativo
Este csmr no enseña nada;Negativo
te hace buscar todo en google;Negativo
te hace buscar todo en internet;Negativo
no sabe como desarrollar los ejercicios;Negativo
Este profesor es un loquito;Negativo
Este profesor es un loquito habla a lo locado;Negativo
Es un completo imbecil nunca hace nada;Negativo
Es muy idiota el profe no sabe ni pincho;Negativo
es un tarao nunca explica nada;Negativo
este wbon habla de todo menos de la clase;Negativo
es un webon porque no sabe ni donde esta parado;Negativo
es una mrd enseñando y hablando;Negativo
es una mierda enseñando y calificando;Negativo
ese webon no va a clase o te saca antes;Negativo
es un mal profe porque nunca hace la clase completa;Negativo
ese tarado solo se pone a leer las diapos;Negativo
el profe esta desactualizado y en algunas ocasiones no sabe muy bien lo que dice y hace;Negativo
nunca considera las participaciones a pesar de que promete que nos subiran puntos;Negativo
no le hagas caso de los puntos extra porque no te los da;Negativo
Califica demasiado bajo y no toma en cuenta las participaciones;Negativo
